method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
snp,1,81920,2583.522021851949,1492.9633488394204,1240.437130735351,5413.9771077689675,10,1982.6582280155012,600.8637938364477,0.06928215631477991,10655.36453116767
snp,1,106496,1812.4613455768692,893.9293573253665,447.05400953798124,3088.3362470981037,10,1982.6582280155012,-170.19688243863197,-0.01962442592540555,10655.36453116767
snp,1,131072,1252.3900999299508,473.80254696456683,730.4401652407505,2388.0662699269906,10,1982.6582280155012,-730.2681280855504,-0.08420302757582432,10655.36453116767
snp,1,155648,908.5204153533072,181.01295845325495,653.8630913138937,1365.7628439805774,10,1982.6582280155012,-1074.137812662194,-0.12385266778236648,10655.36453116767
snp,1,180224,1483.9992340615609,423.7538487183222,965.3003779000778,2375.3922636719826,10,1982.6582280155012,-498.65899395394035,-0.057497507290798146,10655.36453116767
snp,1,204800,1916.3435126193465,1404.100284271812,832.9107253374008,5890.474980148102,10,1982.6582280155012,-66.31471539615472,-0.0076463693189293995,10655.36453116767
snp,1,229376,1115.8377591848164,445.62358393135037,591.3377324023359,1674.8792239558522,10,1982.6582280155012,-866.8204688306848,-0.09994809445071183,10655.36453116767
snp,1,253952,1162.221077437436,525.2105044001072,354.2461270195227,1898.8733149605944,10,1982.6582280155012,-820.4371505780653,-0.09459990017017762,10655.36453116767
snp,1,278528,1393.8854351863597,1233.4681089290027,589.0535073218798,4955.568209095871,10,1982.6582280155012,-588.7727928291415,-0.06788801236671177,10655.36453116767
snp,1,303104,966.7289686676479,441.4919794989124,510.5389212882019,2092.0271957483146,10,1982.6582280155012,-1015.9292593478533,-0.1171409734999863,10655.36453116767
snp,1,327680,1083.227993278241,634.2417777933396,433.4212428925167,2791.996918986521,10,1982.6582280155012,-899.4302347372602,-0.10370813944277653,10655.36453116767
