method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
inject,0,253952,4553.958964132477,4479.510816542417,-829.3041420430671,10919.750421712099,10,785.9808004170143,3767.978163715463,0.352163856591432,11485.483582540317
inject,0,278528,3661.6355410969218,4183.598949976531,-826.6823658610859,11057.826300306651,10,785.9808004170143,2875.6547406799073,0.26876526872031636,11485.483582540317
inject,0,303104,5762.236415389585,4720.4257191825045,-820.1092443791941,11156.443631673988,10,785.9808004170143,4976.255614972571,0.46509223053072996,11485.483582540317
inject,0,327680,4324.089193224773,4789.183615922615,-815.4235554186484,10999.457737388437,10,785.9808004170143,3538.1083928077587,0.3306797020875157,11485.483582540317
inject,0,352256,4845.021286622533,4170.160040629436,-815.631447295347,10695.939785634517,10,785.9808004170143,4059.0404862055184,0.37936720691432346,11485.483582540317
inject,0,376832,6408.6200968678095,4527.351285905596,-822.214440120819,10894.184202593573,10,785.9808004170143,5622.639296450795,0.5255047276888024,11485.483582540317
inject,0,401408,7262.695756965237,3799.7725262997365,-823.1844223489256,10880.206826793383,10,785.9808004170143,6476.714956548222,0.6053285921626348,11485.483582540317
inject,0,425984,8675.807921662145,3416.4647131735046,-821.4847078800512,10964.25470626012,10,785.9808004170143,7889.82712124513,0.7374012868794265,11485.483582540317
inject,0,450560,6992.551565077707,4498.47675239576,-827.7730395613708,10826.277389168366,10,785.9808004170143,6206.5707646606925,0.5800802981658673,11485.483582540317
inject,0,475136,7989.647782509763,4187.509790315365,-827.5339045934707,10840.210832841414,10,785.9808004170143,7203.666982092748,0.6732711910178987,11485.483582540317
inject,0,499712,5425.496331341719,4558.309757929614,-824.3362596362776,10860.763584757158,10,785.9808004170143,4639.515530924705,0.4336197321470651,11485.483582540317
inject,1,0,6073.197641444289,4519.222213052737,-447.8997136590062,11175.5492854351,10,6727.982055801181,-654.7844143568918,-0.13763199245215144,11485.483582540317
inject,1,32768,8759.009988749549,3106.557766146047,835.8743619279719,10969.853729511693,10,6727.982055801181,2031.0279329483683,0.42691062128014806,11485.483582540317
inject,1,57344,9953.737446315263,2167.326358721283,3506.4143618425833,11125.926746688372,10,6727.982055801181,3225.755390514082,0.6780355974046377,11485.483582540317
inject,1,81920,7550.354452095598,3697.8842085350575,-231.05330785873616,10979.276710815857,10,6727.982055801181,822.3723962944177,0.17285804145295275,11485.483582540317
inject,1,106496,5331.658573851566,4907.0384615403855,-422.81344748844145,11202.512025752385,10,6727.982055801181,-1396.3234819496147,-0.2934993239220622,11485.483582540317
inject,1,131072,6336.62916696615,3950.690677147469,-420.5333703201891,10819.87743894411,10,6727.982055801181,-391.3528888350311,-0.08226017092232235,11485.483582540317
inject,1,155648,7544.77453245705,3554.272903240107,-210.97849377283208,11161.573713632662,10,6727.982055801181,816.792476655869,0.17168517380256643,11485.483582540317
inject,1,180224,7650.603160570271,3437.2016056931084,-396.9800922075851,11194.237957460196,10,6727.982055801181,922.6211047690904,0.1939297548071496,11485.483582540317
inject,1,204800,9384.596005005302,2215.1592294342777,4321.221177203624,11067.181601405893,10,6727.982055801181,2656.613949204121,0.5584052750618032,11485.483582540317
inject,1,229376,6664.260347963199,4374.879521725816,-232.82757516546647,10862.576708177177,10,6727.982055801181,-63.72170783798174,-0.013393943746827048,11485.483582540317
inject,1,253952,8266.488563662007,3155.149102155158,3668.7410022303943,10982.500182651998,10,6727.982055801181,1538.5065078608268,0.3233853943903949,11485.483582540317
inject,1,278528,9391.981348446157,2718.3338031223684,1701.7083651309395,11012.410262597672,10,6727.982055801181,2663.999292644977,0.559957632617086,11485.483582540317
inject,1,303104,8436.367509815798,3349.086253505642,-270.2939082559872,10921.51326551435,10,6727.982055801181,1708.3854540146176,0.35909299115379956,11485.483582540317
inject,1,327680,9474.147171066828,1954.376479260932,4584.363111027388,10895.60679532102,10,6727.982055801181,2746.1651152656477,0.5772284253097617,11485.483582540317
inject,1,352256,7504.249613225588,4589.015693264817,-463.5103245631905,10968.604699310039,10,6727.982055801181,776.2675574244076,0.16316706424544355,11485.483582540317
inject,1,376832,9508.602609738164,2988.2720200177832,611.1662910319449,10938.10607600752,10,6727.982055801181,2780.620553936983,0.5844707642707561,11485.483582540317
inject,1,401408,8628.195874856556,3573.603929589095,-330.7898519361556,10919.797385668822,10,6727.982055801181,1900.213819055375,0.3994142320240927,11485.483582540317
inject,1,425984,8441.372241805651,4435.220278203192,-459.21522154241416,10881.606162875141,10,6727.982055801181,1713.3901860044707,0.360144957603137,11485.483582540317
inject,1,450560,8329.156828532618,3958.764971976382,-378.8473869992585,10881.179751387845,10,6727.982055801181,1601.1747727314369,0.3365579103644236,11485.483582540317
inject,1,475136,7554.698537641551,3961.1017981273003,-461.8615084768946,10856.780581928648,10,6727.982055801181,826.7164818403708,0.17377114374427613,11485.483582540317
inject,1,499712,6179.38604832196,4690.896679803171,-451.8428437968178,10811.927113654257,10,6727.982055801181,-548.596007479221,-0.11531178797958794,11485.483582540317
inject,2,0,4185.793453111307,4536.619029130602,-428.17018461760347,10882.580416064999,10,3096.9485527866955,1088.8449003246114,0.12980155609206417,11485.483582540317
inject,2,32768,7932.348346380852,2707.351331739969,3443.293217985132,11346.003073788084,10,3096.9485527866955,4835.399793594156,0.5764295882256985,11485.483582540317
inject,2,57344,5012.70985832644,3751.411734518157,-412.71246877894424,11258.779185763597,10,3096.9485527866955,1915.7613055397442,0.2283785307585028,11485.483582540317
inject,2,81920,4157.249164566879,3861.4700061527124,-427.7427303569171,10590.00338310296,10,3096.9485527866955,1060.3006117801833,0.12639878213453995,11485.483582540317
inject,2,106496,4650.43006043858,3092.518548477771,-26.605796468980245,10636.849825399118,10,3096.9485527866955,1553.4815076518844,0.18519103776244475,11485.483582540317
inject,2,131072,5069.517420633232,3307.3796939913277,-66.49544173493334,11244.573164712361,10,3096.9485527866955,1972.5688678465367,0.23515057880962587,11485.483582540317
inject,2,155648,5331.948310321995,3516.613058149836,-403.02700960049026,10595.325690647189,10,3096.9485527866955,2234.9997575353,0.26643505085708735,11485.483582540317
inject,2,180224,6457.996621127904,3658.2298519484652,171.106615089763,10964.553235536541,10,3096.9485527866955,3361.048068341209,0.40067163766010455,11485.483582540317
inject,2,204800,7212.715634813823,3577.066743111728,1459.5716623365506,11191.544346409848,10,3096.9485527866955,4115.767082027128,0.49064193770880277,11485.483582540317
inject,2,229376,8222.15034402912,2572.541555737686,2858.2165421104564,10896.469435110612,10,3096.9485527866955,5125.201791242424,0.6109769789900942,11485.483582540317
