method,seed,step,eval_episode,return,J0,improvement,norm_improvement,J_ref
lyapunov,0,0,0,5821.960051037968,3327.2943325917067,2494.665718446261,0.3060504828866552,11478.45192793555
lyapunov,0,0,1,1970.9663342198069,3327.2943325917067,-1356.3279983718999,-0.16639697887577015,11478.45192793555
lyapunov,0,0,2,2441.993454525039,3327.2943325917067,-885.3008780666678,-0.10861044797658735,11478.45192793555
lyapunov,0,0,3,1981.9781205614931,3327.2943325917067,-1345.3162120302136,-0.1650460313310158,11478.45192793555
lyapunov,0,0,4,7461.149930387158,3327.2943325917067,4133.855597795451,0.5071495120704903,11478.45192793555
lyapunov,0,0,5,2550.940411599563,3327.2943325917067,-776.3539209921437,-0.09524462161550808,11478.45192793555
lyapunov,0,0,6,3089.8523741019835,3327.2943325917067,-237.44195848972322,-0.029129845139569684,11478.45192793555
lyapunov,0,0,7,2877.7724076754903,3327.2943325917067,-449.52192491621645,-0.055148231352789324,11478.45192793555
lyapunov,0,0,8,2943.190932341625,3327.2943325917067,-384.1034002500819,-0.047122558447694515,11478.45192793555
lyapunov,0,0,9,2133.1393094669434,3327.2943325917067,-1194.1550231247634,-0.14650128021821035,11478.45192793555
lyapunov,0,32768,0,10278.896340750958,3327.2943325917067,6951.602008159251,0.8528361678686416,11478.45192793555
lyapunov,0,32768,1,1189.0959014375842,3327.2943325917067,-2138.1984311541228,-0.2623183769766885,11478.45192793555
lyapunov,0,32768,2,2322.5761874927744,3327.2943325917067,-1004.7181450989324,-0.12326079249769298,11478.45192793555
lyapunov,0,32768,3,3319.4457454435933,3327.2943325917067,-7.848587148113438,-0.0009628800640088075,11478.45192793555
lyapunov,0,32768,4,10109.81847787655,3327.2943325917067,6782.524145284843,0.8320933640550768,11478.45192793555
lyapunov,0,32768,5,-86.41667316125042,3327.2943325917067,-3413.711005752957,-0.41880076116846987,11478.45192793555
lyapunov,0,32768,6,1492.084923364737,3327.2943325917067,-1835.2094092269697,-0.22514708954347082,11478.45192793555
lyapunov,0,32768,7,-231.51662565277584,3327.2943325917067,-3558.8109582444827,-0.4366019079106957,11478.45192793555
lyapunov,0,32768,8,9089.326095388453,3327.2943325917067,5762.031762796746,0.7068973571779883,11478.45192793555
lyapunov,0,32768,9,9895.426731740505,3327.2943325917067,6568.132399148798,0.8057913641732184,11478.45192793555
lyapunov,0,57344,0,514.6510923890833,3327.2943325917067,-2812.6432402026235,-0.3450605888744218,11478.45192793555
lyapunov,0,57344,1,5066.730275265291,3327.2943325917067,1739.4359426735846,0.21339741283542338,11478.45192793555
lyapunov,0,57344,2,5416.600717955705,3327.2943325917067,2089.306385363998,0.2563202049118943,11478.45192793555
lyapunov,0,57344,3,2729.223525814762,3327.2943325917067,-598.0708067769447,-0.07337249951408202,11478.45192793555
lyapunov,0,57344,4,1357.8856492180696,3327.2943325917067,-1969.4086833736371,-0.2416109196878986,11478.45192793555
lyapunov,0,57344,5,6132.949093956023,3327.2943325917067,2805.654761364316,0.34420322858470764,11478.45192793555
lyapunov,0,57344,6,1495.762498709029,3327.2943325917067,-1831.5318338826778,-0.22469591738775868,11478.45192793555
lyapunov,0,57344,7,9657.619135129431,3327.2943325917067,6330.324802537724,0.7766166618318306,11478.45192793555
lyapunov,0,57344,8,8385.846920367998,3327.2943325917067,5058.552587776291,0.6205931523205093,11478.45192793555
lyapunov,0,57344,9,1273.4853191267925,3327.2943325917067,-2053.809013464914,-0.2519653177097372,11478.45192793555
lyapunov,0,81920,0,1925.1726633674084,3327.2943325917067,-1402.1216692242983,-0.17201503622665967,11478.45192793555
lyapunov,0,81920,1,-276.9955703792298,3327.2943325917067,-3604.2899029709365,-0.4421813540432123,11478.45192793555
lyapunov,0,81920,2,185.08775033322559,3327.2943325917067,-3142.206582258481,-0.3854920660186843,11478.45192793555
lyapunov,0,81920,3,5464.223341997166,3327.2943325917067,2136.9290094054595,0.26216264182696786,11478.45192793555
lyapunov,0,81920,4,7899.816402005517,3327.2943325917067,4572.522069413811,0.5609659751229433,11478.45192793555
lyapunov,0,81920,5,4560.723566139873,3327.2943325917067,1233.429233548166,0.15131951737768065,11478.45192793555
lyapunov,0,81920,6,6293.276854809685,3327.2943325917067,2965.982522217978,0.36387255272163466,11478.45192793555
lyapunov,0,81920,7,2779.8708956656274,3327.2943325917067,-547.4234369260794,-0.06715898085096811,11478.45192793555
lyapunov,0,81920,8,2909.363758800558,3327.2943325917067,-417.9305737911486,-0.051272542439690906,11478.45192793555
lyapunov,0,81920,9,1475.1730273717476,3327.2943325917067,-1852.1213052199591,-0.22722187411156397,11478.45192793555
lyapunov,0,106496,0,397.53801745228776,3327.2943325917067,-2929.756315139419,-0.35942825059026523,11478.45192793555
lyapunov,0,106496,1,1937.7004571687603,3327.2943325917067,-1389.5938754229464,-0.1704781019135541,11478.45192793555
lyapunov,0,106496,2,9795.091748758936,3327.2943325917067,6467.797416167229,0.7934820716836984,11478.45192793555
lyapunov,0,106496,3,6660.19705753156,3327.2943325917067,3332.902724939853,0.408887042796818,11478.45192793555
lyapunov,0,106496,4,10218.619485807358,3327.2943325917067,6891.325153215651,0.845441285088969,11478.45192793555
lyapunov,0,106496,5,8324.83816574484,3327.2943325917067,4997.543833153134,0.6131084786527443,11478.45192793555
lyapunov,0,106496,6,9817.81323017291,3327.2943325917067,6490.5188975812025,0.7962695875850184,11478.45192793555
lyapunov,0,106496,7,7061.001132380815,3327.2943325917067,3733.706799789108,0.45805847275776407,11478.45192793555
lyapunov,0,106496,8,5732.77201586859,3327.2943325917067,2405.477683276883,0.29510871981617026,11478.45192793555
lyapunov,0,106496,9,2572.106335635761,3327.2943325917067,-755.1879969559459,-0.09264794454405853,11478.45192793555
lyapunov,0,131072,0,5362.27162103756,3327.2943325917067,2034.9772884458534,0.24965500475154978,11478.45192793555
lyapunov,0,131072,1,-257.96175921386947,3327.2943325917067,-3585.256091805576,-0.4398462487602648,11478.45192793555
lyapunov,0,131072,2,10244.288929529097,3327.2943325917067,6916.99459693739,0.8485904627877603,11478.45192793555
lyapunov,0,131072,3,5607.656108688754,3327.2943325917067,2280.3617760970474,0.27975925494556636,11478.45192793555
